fdc_id,energy_kcal,energy_kj,protein_g,total_fat_g,carbohydrate_g,water_g,ash_g,alcohol_g,fiber_total_g,sugars_total_g,starch_g,sucrose_g,glucose_g,fructose_g,lactose_g,maltose_g,galactose_g,calcium_mg,iron_mg,magnesium_mg,phosphorus_mg,potassium_mg,sodium_mg,zinc_mg,copper_mg,fluoride_ug,manganese_mg,selenium_ug,vitamin_a_rae_ug,vitamin_a_iu,retinol_ug,beta_carotene_ug,alpha_carotene_ug,vitamin_e_mg,vitamin_d_ug,vitamin_d_iu,vitamin_d2_ug,vitamin_d3_ug,vitamin_k_phylloquinone_ug,vitamin_k_menaquinone4_ug,vitamin_k_dihydrophylloquinone_ug,vitamin_c_mg,thiamin_mg,riboflavin_mg,niacin_mg,pantothenic_acid_mg,vitamin_b6_mg,folate_total_ug,folic_acid_ug,folate_food_ug,folate_dfe_ug,vitamin_b12_ug,choline_total_mg,betaine_mg,cryptoxanthin_beta_ug,lycopene_ug,lutein_zeaxanthin_ug,tocopherol_beta_mg,tocopherol_gamma_mg,tocopherol_delta_mg,tocotrienol_alpha_mg,tocotrienol_beta_mg,tocotrienol_gamma_mg,tocotrienol_delta_mg,cholesterol_mg,fatty_acids_saturated_g,fatty_acids_monounsaturated_g,fatty_acids_polyunsaturated_g,fatty_acids_trans_g,ala_18_3n3_g,epa_20_5n3_g,dha_22_6n3_g,dpa_22_5n3_g,linoleic_18_2_g,arachidonic_20_4_g,linolenic_18_3_g,sfa_4_0_g,sfa_6_0_g,sfa_8_0_g,sfa_10_0_g,sfa_12_0_g,sfa_14_0_g,sfa_16_0_g,sfa_18_0_g,sfa_20_0_g,sfa_22_0_g,sfa_15_0_g,sfa_17_0_g,sfa_24_0_g,mufa_18_1_g,mufa_16_1_g,mufa_20_1_g,mufa_14_1_g,mufa_22_1_g,pufa_18_4_g,pufa_18_3n6_g,trans_monoenoic_g,tfa_18_1t_g,tryptophan_g,threonine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,valine_g,arginine_g,histidine_g,alanine_g,aspartic_acid_g,glutamic_acid_g,glycine_g,proline_g,serine_g,hydroxyproline_g,phytosterols_mg,caffeine_mg,theobromine_mg,description,food_category_id,gram_weight
172382,297.0,1243.0,14.07,26.24,0.0,59.99,0.55,0.0,0.0,,,,,,,,,18.0,1.9,13.0,112.0,137.0,64.0,1.86,0.08,,0.033,12.0,65.0,216.0,65.0,,,0.3,,,,,,,,0.0,0.047,0.191,3.608,0.85,0.17,5.0,0.0,5.0,5.0,0.26,,,,,,,,,,,,,99.0,7.27,10.55,5.68,,,0.02,0.06,0.03,5.04,0.16,0.21,0.0,0.0,0.0,0.0,0.04,0.21,5.46,1.37,,,,,,8.64,1.49,0.3,,0.0,0.0,,,,0.137,0.545,0.588,0.933,1.005,0.332,0.209,0.514,0.392,0.641,0.975,0.348,0.967,1.256,1.916,1.521,0.971,0.531,,,,,"Chicken, broilers or fryers, neck, meat and skin, raw",5,15.0
172383,229.0,958.0,26.87,11.88,1.77,58.71,0.78,,0.0,,,,,,,,,41.0,2.98,20.0,135.0,213.0,99.0,4.24,0.161,,0.05,20.5,49.0,162.0,49.0,,,,,,,,,,,0.0,0.07,0.318,5.027,1.165,0.35,8.0,0.0,8.0,8.0,0.3,,,,,,,,,,,,,105.0,3.0,4.57,3.04,,,0.01,0.05,0.03,2.63,0.13,0.15,,,,0.0,0.02,0.06,1.83,1.05,,,,,,4.3,0.24,0.01,,0.0,,,,,0.314,1.132,1.417,2.016,2.267,0.742,0.346,1.069,0.907,1.333,1.616,0.832,1.461,2.383,4.081,1.317,1.125,0.93,,,,,"Chicken, broilers or fryers, neck, meat only, cooked, fried",5,7.0
172384,179.0,749.0,24.56,8.18,0.0,67.05,0.77,0.0,0.0,,,,,,,,,44.0,2.63,16.0,128.0,140.0,64.0,3.77,0.129,,0.048,20.5,,121.0,36.0,,,,0.1,5.0,,0.1,,,,0.0,0.046,0.283,3.956,0.671,0.16,6.0,0.0,6.0,6.0,0.17,,,,,,,,,,,,,79.0,2.1,2.54,2.03,,,0.02,0.08,0.04,1.56,0.2,0.07,0.0,0.0,0.0,0.0,0.04,0.05,1.4,0.55,,,,,,2.11,0.37,0.02,,0.0,0.0,,,,0.287,1.037,1.297,1.843,2.086,0.68,0.314,0.974,0.829,1.218,1.481,0.762,1.34,2.188,3.678,1.206,1.01,0.845,,,,,"Chicken, broilers or fryers, neck, meat only, cooked, simmered",5,85.0
172385,221.0,926.0,16.52,16.61,0.25,66.47,0.81,0.0,0.0,0.0,,,,,,,,7.0,0.68,18.0,157.0,204.0,81.0,1.29,0.054,,0.013,18.9,23.0,78.0,23.0,0.0,0.0,0.21,0.1,3.0,,0.1,2.1,,,0.0,0.073,0.145,4.625,0.19,0.347,3.0,0.0,3.0,3.0,0.62,45.7,9.8,0.0,0.0,108.0,0.0,0.09,0.0,0.02,0.02,0.03,0.0,98.0,4.524,6.94,3.467,0.085,0.144,0.004,0.007,0.01,3.096,0.104,0.162,0.001,0.0,0.001,0.003,0.008,0.092,3.511,0.85,0.011,0.014,0.011,0.019,0.002,5.832,0.98,0.078,0.033,0.002,0.003,0.018,0.06,0.053,0.167,0.735,0.731,1.318,1.448,0.438,0.183,0.632,0.579,0.764,1.157,0.465,1.015,1.554,2.571,1.005,0.773,0.675,,,0.0,0.0,"Chicken, broilers or fryers, thigh, meat and skin, raw",5,113.0
172386,277.0,1159.0,21.61,16.53,9.08,51.5,1.27,,0.3,,,,,,,,,18.0,1.45,21.0,155.0,192.0,288.0,2.04,0.082,,0.057,23.2,29.0,95.0,29.0,,,,,,,,,,,0.0,0.119,0.227,5.715,0.982,0.26,19.0,10.0,9.0,26.0,0.28,,,,,,,,,,,,,93.0,4.41,6.7,3.9,,,0.01,0.04,0.02,3.49,0.1,0.19,,,,0.0,0.02,0.1,2.96,1.24,,,,,,6.01,0.56,0.09,,0.0,,,,,0.248,0.886,1.085,1.59,1.699,0.568,0.297,0.864,0.705,1.056,1.317,0.632,1.21,1.869,3.465,1.288,1.114,0.796,,,,,"Chicken, broilers or fryers, thigh, meat and skin, cooked, fried, batter",5,52.0
172387,218.0,912.0,28.18,10.3,1.18,59.31,1.04,,0.0,,,,,,,,,13.0,1.46,26.0,199.0,259.0,95.0,2.79,0.09,,0.027,20.5,,70.0,21.0,,,,0.2,8.0,,0.2,,,,0.0,0.088,0.255,7.12,1.285,0.38,9.0,0.0,9.0,9.0,0.33,,,,,,,,,,,,,102.0,2.78,3.82,2.43,,,0.01,0.05,0.03,2.04,0.14,0.1,,,,0.0,0.03,0.07,1.9,0.7,,,,,,3.26,0.46,0.05,,0.0,,,,,0.329,1.188,1.486,2.115,2.384,0.778,0.362,1.121,0.951,1.397,1.697,0.874,1.534,2.504,4.257,1.382,1.172,0.973,,,,,"Chicken, broilers or fryers, thigh, meat only, cooked, fried",5,85.0
172388,179.0,750.0,24.76,8.15,0.0,67.0,1.04,0.0,0.0,0.0,,,,,,,,9.0,1.13,24.0,230.0,269.0,106.0,1.92,0.067,,0.016,27.1,8.0,27.0,8.0,0.0,0.0,0.18,0.2,7.0,,0.2,3.9,,0.0,0.0,0.096,0.218,6.208,1.3,0.462,5.0,0.0,5.0,5.0,0.42,71.8,5.2,0.0,0.0,0.0,0.0,0.08,0.0,0.01,0.0,0.05,0.0,133.0,2.311,3.361,1.695,0.044,0.061,0.005,0.005,0.008,1.46,0.087,0.073,0.001,0.001,0.001,0.001,0.004,0.044,1.75,0.477,0.005,0.008,0.007,0.009,0.001,2.815,0.485,0.034,0.015,0.001,0.001,0.012,0.03,0.027,0.279,1.171,1.183,2.11,2.336,0.708,0.289,0.989,0.931,1.204,1.729,0.739,1.483,2.435,4.056,1.135,0.999,1.036,,,0.0,0.0,"Chicken, broilers or fryers, thigh, meat only, cooked, roasted",5,85.0
172389,195.0,816.0,25.0,9.79,0.0,65.59,0.86,0.0,0.0,0.0,,,,,,,,11.0,1.42,21.0,149.0,183.0,75.0,2.58,0.077,,0.02,17.1,19.0,62.0,19.0,0.0,0.0,0.27,0.1,5.0,,0.1,3.6,,0.0,0.0,0.063,0.218,5.2,0.874,0.21,7.0,0.0,7.0,7.0,0.21,67.3,4.9,0.0,0.0,0.0,,,,,,,,90.0,2.71,3.7,2.24,,,0.01,0.05,0.03,1.89,0.12,0.09,0.0,0.0,0.0,0.0,0.03,0.07,1.89,0.62,,,,,,3.08,0.5,0.06,,0.0,0.0,,,,0.292,1.056,1.32,1.876,2.123,0.692,0.32,0.992,0.844,1.24,1.508,0.776,1.364,2.227,3.743,1.228,1.028,0.86,,,0.0,0.0,"Chicken, broilers or fryers, thigh, meat only, cooked, stewed",5,140.0
172390,191.0,798.0,17.52,12.85,0.0,69.19,0.74,0.0,0.0,0.0,,,,,,,,11.0,0.46,16.0,123.0,187.0,84.0,1.21,0.034,,0.011,17.6,9.0,29.0,9.0,0.0,0.0,0.64,0.1,5.0,,0.1,0.0,23.7,0.0,0.0,0.054,0.103,5.697,0.64,0.528,7.0,0.0,7.0,7.0,0.25,82.0,9.0,0.0,0.0,0.0,0.0,0.15,0.06,0.04,0.0,0.07,0.0,111.0,3.535,5.422,2.498,0.061,0.112,0.003,0.006,0.009,2.226,0.072,0.113,0.0,0.0,0.0,0.005,0.006,0.069,2.748,0.66,0.01,0.011,0.009,0.015,0.003,4.546,0.768,0.072,0.026,0.002,0.003,0.002,0.046,0.041,0.221,0.786,0.859,1.449,1.685,0.456,0.183,0.707,0.631,0.907,1.185,0.653,1.023,1.648,2.595,0.775,0.557,0.668,,,0.0,0.0,"Chicken, broilers or fryers, wing, meat and skin, raw",5,113.0
172391,211.0,883.0,30.15,9.15,0.0,59.83,0.87,,0.0,,,,,,,,,15.0,1.14,21.0,164.0,208.0,91.0,2.12,0.053,,0.016,25.4,,61.0,18.0,,,,0.1,3.0,,0.1,,,,0.0,0.046,0.128,7.239,0.989,0.59,4.0,0.0,4.0,4.0,0.34,,,,,,,,,,,,,84.0,2.5,3.08,2.07,,,0.02,0.07,0.04,1.56,0.17,0.08,,,,0.0,0.01,0.07,1.64,0.72,,,,,,2.7,0.28,0.04,,0.0,,,,,0.352,1.274,1.592,2.262,2.562,0.835,0.386,1.196,1.018,1.496,1.819,0.936,1.645,2.687,4.516,1.481,1.24,1.038,,,,,"Chicken, broilers or fryers, wing, meat only, cooked, fried",5,85.0
